method,spearman_rho,p_value,ci95_lo,ci95_hi,n_pairs
PAF (wave+FFT),-0.25919589070843896,4.694613305500656e-18,-0.3083207403291422,-0.20112431719322402,1081
FP-A (composition),-0.3460604944836872,9.039277444519066e-32,-0.4045926357737878,-0.28402527443315684,1081
FP-B (radial hist),-0.2969683126213928,1.89195564225304e-23,-0.3556063609500834,-0.23693489324163172,1081
FP-B-log (radial log),-0.2830366518606168,2.315104000321296e-21,-0.34366365226711787,-0.22204293515434978,1081
FP-C (sorted concat),-0.4731236566402368,2.167034032408607e-61,-0.5216587103566771,-0.42020579932445,1081
