method,silhouette,loo_1nn_accuracy,loo_3nn_accuracy,mean_within_sim,mean_between_sim,cohen_d,within_vs_between_pval
PAF (wave+FFT),-0.1965713108430416,0.3829787234042553,0.3404255319148936,0.7282079674254501,0.6879572585206409,0.24233941097528303,0.006206918733278771
FP-A (composition),-0.2792527362497971,0.2553191489361702,0.3829787234042553,0.984030971279694,0.9820233087787462,0.11084649838612497,0.17081135742167688
FP-B (radial hist),-0.17421309276600938,0.14893617021276595,0.2127659574468085,0.6472340538453205,0.6635197425546777,-0.13701326840597045,0.11516243665624393
FP-B-log (radial log),-0.2452324758659586,0.19148936170212766,0.1276595744680851,0.7032433820780594,0.7234516892971353,-0.15664105000022832,0.06525132194920663
FP-C (sorted concat),-0.08298531273528108,0.2127659574468085,0.19148936170212766,0.4826628097954498,0.48170711374804726,0.011596140046716856,0.8933090855072668
